,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
20,query_es2_4_1.load.inserts,query_es2_4_1,es2,load.inserts,load,load,4,1,3661085.2298,3.6610852298000003,156.5451,269.22538544789785,269.22538544789785,42145.91488747972,0.0,3625971.5,3984191.6,4157717.9,4324155.0,4906357.836666666,1,1,54705505.0,2323021.0,371435999000.0,0.0,100000.0,100000.0,15654510.0,5410827455.0
21,query_es2_4_1.q1.reads,query_es2_4_1,es2,q1.reads,fixed_10: fixed_hf,1,4,1,477251.0622,0.4772510622000001,367.0,1948.9378288832586,1948.9378288832586,715260.1832001559,0.0,471229.0,489624.6,492743.0,498250.65,507870.4733333334,1,1,2240297.0,460423.0,5131000000.0,0.0,10000.0,10000.0,3670000.0,372295351098.0
22,query_es2_4_1.q2.reads,query_es2_4_1,es2,q2.reads,fixed_10: uar,2,4,1,476274.994,0.47627499399999995,369.1339,1836.8846436443791,1836.8846436443791,678056.3923585599,0.0,474413.0,479131.0,485543.7,489408.2,498220.6433333333,1,1,587955.0,466076.0,5444000000.0,0.0,10000.0,10000.0,3691339.0,377882500154.0
23,query_es2_4_1.q3.reads,query_es2_4_1,es2,q3.reads,"uar_[6,10]: uar",3,4,1,550434.9954,0.5504349954000001,369.0675,1666.944490748458,1666.944490748458,615215.0358393065,0.0,518597.0,627262.8,693096.9666666667,754207.1,860365.0066666666,1,1,1020095.0,429621.0,5999000000.0,0.0,10000.0,10000.0,3690675.0,383797256708.0
24,query_es2_4_1.q4.reads,query_es2_4_1,es2,q4.reads,"uar_[6,10]: uar_alllow",4,4,1,562605.5607,0.5626055607,369.1568,1635.0555918901243,1635.0555918901243,603591.8901242643,0.0,530228.0,639613.0,705267.7333333333,770708.6499999999,875389.9533333345,1,1,1008345.0,434413.0,6116000000.0,0.0,10000.0,10000.0,3691568.0,390442152752.0
25,query_es2_4_4.load.inserts,query_es2_4_4,es2,load.inserts,load,load,4,4,7983911.29727,7.983911297270001,156.5451,468.6321097348948,468.6321097348948,73362.06048166008,0.0,4874010.5,8543308.000000002,13544397.333333332,19703084.849999994,40929618.249999955,4,4,4082467313.0,2237926.0,213387000000.0,0.0,100000.0,100000.0,15654510.0,16740384949.0
26,query_es2_4_4.q1.reads,query_es2_4_4,es2,q1.reads,fixed_10: fixed_hf,1,4,4,526456.9266,0.5264569266,368.0,6882.317193611283,6882.317193611283,2532692.7272489523,0.0,522623.0,546709.6,557965.6333333333,567095.2,588540.416666667,4,4,11765613.0,476549.0,1452999000.0,0.0,10000.0,10000.0,3680000.0,864648902685.0
27,query_es2_4_4.q2.reads,query_es2_4_4,es2,q2.reads,fixed_10: uar,2,4,4,511422.0413,0.5114220412999999,369.1145,6830.601092896175,6830.601092896175,2521273.9071038254,0.0,507998.0,522960.8,532798.0666666667,543016.25,571448.5333333333,4,4,806665.0,471198.0,1464000000.0,0.0,10000.0,10000.0,3691145.0,871334482249.0
28,query_es2_4_4.q3.reads,query_es2_4_4,es2,q3.reads,"uar_[6,10]: uar",3,4,4,597799.6054,0.5977996054000001,369.1058,6020.473221236136,6020.473221236136,2222191.584702941,0.0,566158.0,691156.8,757510.9333333333,817567.7,916341.2833333334,4,4,1253560.0,443852.0,1660999000.0,0.0,10000.0,10000.0,3691058.0,879761033700.0
29,query_es2_4_4.q4.reads,query_es2_4_4,es2,q4.reads,"uar_[6,10]: uar_alllow",4,4,4,589520.7097,0.5895207097,369.1351,6165.228113440197,6165.228113440197,2275802.096177559,0.0,557846.5,681572.0,750658.9666666667,810731.95,898072.7600000007,4,4,1102943.0,443630.0,1622000000.0,0.0,10000.0,10000.0,3691351.0,889070379754.0
