,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
137,query_es3_8_16.q2.reads,query_es3_8_16,es3,q2.reads,fixed_1: uar,2,8,16,8332508.6749,8.3325086749,367.3877,1806.3583815028903,1806.3583815028903,663633.8511560694,0.0,6789190.5,9914613.0,12076378.7,14867167.95,38916940.13666722,16,16,210896196.0,3451079.0,5536000000.0,0.0,10000.0,10000.0,3673877.0,2436495918922.0
138,query_es3_8_16.q3.reads,query_es3_8_16,es3,q3.reads,"uar_[1,5]: uar",3,8,16,6740081.8055,6.7400818055,367.7558,2168.7269572760792,2168.7269572760792,797561.9171546303,0.0,5807610.5,8488438.2,10755506.233333332,13273462.699999996,35265563.41666672,16,16,210191424.0,487867.0,4611000000.0,0.0,10000.0,10000.0,3677558.0,2535308717151.0
139,query_es3_8_16.q4.reads,query_es3_8_16,es3,q4.reads,"uar_[1,5]: uar_alllow",4,8,16,5834301.1099,5.834301109899999,368.0126,2648.305084745763,2648.305084745763,974609.6398305085,0.0,5881840.0,7896258.600000001,9960349.7,11302520.849999998,14669843.733333355,16,16,28000891.0,495129.0,3776000000.0,0.0,10000.0,10000.0,3680126.0,2619214592848.0
140,query_es3_16_1.load.inserts,query_es3_16_1,es3,load.inserts,load,load,16,1,5053105.28212,5.053105282120001,156.5451,195.6728900996814,195.6728900996814,30631.632147943637,0.0,4941978.5,5588383.4,5904346.0,6230657.35,7657077.956666662,1,1,55990337.0,3436623.0,511056999000.0,0.0,100000.0,100000.0,15654510.0,5833062959.0
141,query_es3_16_1.q1.reads,query_es3_16_1,es3,q1.reads,fixed_1: fixed_hf,1,16,1,10293386.2995,10.2933862995,355.0,96.6884224963831,96.6884224963831,34324.389986216,0.0,10271281.0,10311942.0,10347809.933333334,10445175.5,10707224.4,1,1,14361138.0,10191538.0,103424999000.0,0.0,10000.0,10000.0,3550000.0,512085664095.0
142,query_es3_16_1.q2.reads,query_es3_16_1,es3,q2.reads,fixed_1: uar,2,16,1,4711012.6893,4.7110126893,367.4809,209.03010033444815,209.03010033444815,76814.5693979933,0.0,4089127.5,4173269.5999999996,4242120.066666666,4468862.349999999,25978796.763333343,1,1,96647358.0,3847569.0,47840000000.0,0.0,10000.0,10000.0,3674809.0,615893236214.0
143,query_es3_16_1.q3.reads,query_es3_16_1,es3,q3.reads,"uar_[1,5]: uar",3,16,1,4073049.6973,4.0730496973,367.7806,242.3537453917344,242.3537453917344,89133.00589241931,0.0,4243349.0,4351795.2,4423721.933333334,4564721.05,10975757.853333356,1,1,97017609.0,476602.0,41261999000.0,0.0,10000.0,10000.0,3677806.0,664229096850.0
144,query_es3_16_1.q4.reads,query_es3_16_1,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,1,3669104.1582,3.6691041582000006,368.0773,268.88948642108096,268.88948642108096,98972.11616025814,0.0,4374872.5,4433846.6,4479254.533333333,4524215.05,4905537.690000007,1,1,5768901.0,476593.0,37190000000.0,0.0,10000.0,10000.0,3680773.0,706147836360.0
145,query_es3_16_4.load.inserts,query_es3_16_4,es3,load.inserts,load,load,16,4,8097021.39837,8.09702139837,156.5451,488.70122761748377,488.70122761748377,76503.78254750176,0.0,6476627.0,10412595.8,12142793.633333333,15866695.999999996,24557516.936666626,4,4,170371209.0,3916980.0,204624000000.0,0.0,100000.0,100000.0,15654510.0,14503450735.0
146,query_es3_16_4.q1.reads,query_es3_16_4,es3,q1.reads,fixed_1: fixed_hf,1,16,4,12780198.2182,12.7801982182,358.0,311.9540803593711,311.9540803593711,111679.56076865486,0.0,12775372.5,12920489.0,13004011.166666668,13061914.95,13202872.146666666,4,4,22046759.0,11915903.0,32055999999.999996,0.0,10000.0,10000.0,3580000.0,829382483355.0
