,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
76,query_es2_8_8.q6.7,query_es2_8_8,es2,q6.7,fixed_int: int_txn,6,8,8,6099913.5573,6.0999135573,194.5,2129.585263269978,1064.792631634989,414204.3337060107,0.0,6166207.5,7512832.000000001,7951792.266666667,8365285.1,9146782.306666667,8,8,18199082.0,4282175.0,93915000000.0,0.0,200000.0,100000.0,38900000.0,1315747837874.0
77,query_es2_8_16.load.inserts,query_es2_8_16,es2,load.inserts,load,load,8,16,12086916.34858,12.086916348579999,174.4612,1247.613953908325,1247.613953908325,217660.22753559105,0.0,5793466.5,12156097.8,18983791.666666668,26431980.649999976,60666144.28999983,16,16,6103476108.0,2550547.0,80152999000.0,0.0,100000.0,100000.0,17446120.0,236075040093.0
78,query_es2_8_16.q1.reads,query_es2_8_16,es2,q1.reads,fixed_10: fixed_hf,1,8,16,789654.7522,0.7896547522,388.0,17211.733583018213,17211.733583018213,6678152.630211067,0.0,650115.0,966425.6,1118260.0666666667,1313229.4,1691303.2266666666,16,16,16322666.0,497235.0,580999000.0,0.0,10000.0,10000.0,3880000.0,1519196047217.0
79,query_es2_8_16.q2.reads,query_es2_8_16,es2,q2.reads,fixed_10: uar,2,8,16,15010617.201,15.010617200999999,358.6892,933.6196433572962,866.2123051068994,334879.2829801139,0.0,708236.5,956277.0000000002,12843706.4,187817937.09999996,218373483.7733333,16,16,324966591.0,481908.0,10711000000.0,0.0,10000.0,9278.0,3586892.0,1528828694871.0
80,query_es2_8_16.q3.reads,query_es2_8_16,es2,q3.reads,"uar_[6,10]: uar",3,8,16,14111640.1854,14.111640185399999,360.5627,1016.6734444896299,948.1496543310288,366574.5221634811,0.0,685675.5,917287.6000000001,11692537.566666666,184285597.89999998,216344102.43,16,16,308114250.0,468057.0,9836000000.0,0.0,10000.0,9326.0,3605627.0,1697804107599.0
81,query_es2_8_16.q4.reads,query_es2_8_16,es2,q4.reads,"uar_[6,10]: uar_alllow",4,8,16,14937630.2191,14.937630219099999,359.4261,932.0534003218753,866.3436355991831,335004.3186694304,0.0,691498.0,942367.8000000003,13422013.433333328,188004860.84999996,224124365.74333352,16,16,333655964.0,464415.0,10728999000.0,0.0,10000.0,9295.0,3594261.0,1843977513117.0
82,query_es2_8_16.q5.reads,query_es2_8_16,es2,q5.reads,fixed_int: int,5,8,16,6892435.27362,6.892435273619999,384.0,2064.7505781301616,2064.7505781301616,792864.2220019822,0.0,6075499.5,8717469.600000005,9455238.766666666,10980433.95,14043322.71666665,16,16,27482082.0,4332143.0,48432000000.0,0.0,100000.0,100000.0,38400000.0,2081586457546.0
83,query_es2_8_16.q6.7,query_es2_8_16,es2,q6.7,fixed_int: int_txn,6,8,16,7561699.110995,7.561699110995,192.0,3368.080699213553,1684.0403496067765,646671.4942490022,0.0,7273755.0,9591963.4,10670200.9,11734864.0,13884423.609999998,16,16,20743153.0,4377378.0,59381000000.0,0.0,200000.0,100000.0,38400000.0,2232642519957.0
84,query_es2_16_1.load.inserts,query_es2_16_1,es2,load.inserts,load,load,16,1,5375380.91966,5.37538091966,174.4612,184.19123470752274,184.19123470752274,32134.223836556066,0.0,3887350.0,4512504.6000000015,5001355.7,5983329.149999998,49663961.44,1,1,838603993.0,2333198.0,542914000000.0,0.0,100000.0,100000.0,17446120.0,7004044626.0
85,query_es2_16_1.q1.reads,query_es2_16_1,es2,q1.reads,fixed_10: fixed_hf,1,16,1,487068.4255,0.4870684255,388.0,1920.1228878648233,1920.1228878648233,745007.6804915514,0.0,482933.0,494367.8,498724.43333333335,505961.55,520148.3133333334,1,1,763784.0,472463.0,5208000000.0,0.0,10000.0,10000.0,3880000.0,545271413804.0
86,query_es2_16_1.q2.reads,query_es2_16_1,es2,q2.reads,fixed_10: uar,2,16,1,6515007.5901,6.515007590100001,361.1233,151.92950470981467,141.94773625037985,54865.284108173815,0.0,595687.0,723119.4,806587.8333333333,90437903.7,90783666.0,1,1,97011892.0,449448.0,65819999999.99999,0.0,10000.0,9343.0,3611233.0,550812081350.0
87,query_es2_16_1.q3.reads,query_es2_16_1,es2,q3.reads,"uar_[6,10]: uar",3,16,1,6246516.8871,6.2465168871,362.1092,158.8057805304113,148.76925520088932,57505.03414324282,0.0,583359.0,710183.2,810665.0333333333,88538917.89999999,91540224.02000001,1,1,92382502.0,451376.0,62970000000.0,0.0,10000.0,9368.0,3621092.0,616324557894.0
88,query_es2_16_1.q4.reads,query_es2_16_1,es2,q4.reads,"uar_[6,10]: uar_alllow",4,16,1,6930620.19,6.93062019,359.1627,143.43704036945135,133.2530105032203,51517.23469910114,0.0,585816.0,713393.8,819129.3666666667,88580786.3,91497044.83666667,1,1,91902207.0,449218.0,69716999000.0,0.0,10000.0,9290.0,3591627.0,678580721357.0
89,query_es2_16_1.q5.reads,query_es2_16_1,es2,q5.reads,fixed_int: int,5,16,1,4080139.03994,4.08013903994,0.0,219.67400377839286,0.0,0.0,0.0,4080579.0,4095274.0,4103281.0,4110458.1999999997,4127544.0,1,1,5807161.0,3969696.0,455220000000.0,0.0,100000.0,0.0,0.0,796068553506.0
90,query_es2_16_1.q6.7,query_es2_16_1,es2,q6.7,fixed_int: int_txn,6,16,1,5265990.94025,5.265990940249999,0.0,310.87954039568746,0.0,0.0,0.0,5215321.5,6166952.0,6735410.7,7003048.249999999,8016110.626666665,1,1,378468349.0,4003122.0,643336000000.0,0.0,200000.0,0.0,0.0,794313739869.0
91,query_es2_16_4.load.inserts,query_es2_16_4,es2,load.inserts,load,load,16,4,5744913.44331,5.74491344331,174.4612,637.3608203940217,637.3608203940217,111194.7335589255,0.0,4893528.5,6344059.400000001,8571773.033333333,11108275.95,19042244.59999999,4,4,170547818.0,2320027.0,156896999000.0,0.0,100000.0,100000.0,17446120.0,21984834846.0
